,DOY,green relative Year2015.C84,green relative Year2014
153,242,0.344234882,0.34803189
154,243,0.348404716,0.346777798
155,244,0.348635302,0.346421036
156,245,0.344012741,0.34743847
157,246,0.346677751,0.348711029
158,247,0.348109598,0.343730227
159,248,0.346396389,0.348503716
160,249,0.345200201,NA
161,250,0.345889227,0.344788908
162,251,0.345074997,0.34595686
163,252,0.345912777,0.348334508
164,253,NA,0.343667711
165,254,NA,0.346566779
166,255,NA,0.344536123
167,256,0.342673221,0.342554477
168,257,0.34498117,NA
169,258,0.347497513,NA
170,259,0.344550039,NA
171,260,0.345632293,0.343686837
172,261,0.344085542,0.34197497
173,262,0.344475706,NA
174,263,0.341139339,0.344151282
175,264,0.341915261,NA
176,265,0.34006624,0.342907111
177,266,0.340309491,0.344746375
178,267,0.341910564,0.342936538
179,268,0.341266943,NA
180,269,0.342535177,0.342502358
181,270,0.341744759,NA
182,271,0.340950955,0.342454266
183,272,0.340737697,NA
184,273,0.342070007,0.343039979
185,274,0.340352086,0.342956404
186,275,0.342764928,0.339363453
187,276,0.343091048,NA
188,277,0.339825604,0.338573516
189,279,0.340439832,NA
190,280,0.338753547,0.340645577
191,281,0.337742642,NA
192,282,0.33653178,0.338147457
193,283,0.338344852,0.341552001
194,284,0.335988595,0.34012494
195,285,0.335544829,0.34256961
196,286,0.338525588,NA
197,287,0.338954217,0.339375042
198,288,0.336045631,NA
199,289,0.336574474,0.341819205
200,290,0.337797355,NA
201,291,0.339399829,NA
202,292,0.336279724,NA
203,293,0.337736044,NA
204,294,0.335931155,NA
205,295,0.336016011,NA
206,296,0.335692841,NA
207,297,0.338430624,0.341383102
208,298,0.337892284,0.336819691
209,299,0.336545673,NA
210,300,0.338687604,NA
211,301,0.337154197,0.338248225
212,302,0.336726905,NA
213,303,0.335693168,0.336945234
214,304,0.339652534,NA
215,305,0.337088431,0.338818163
216,306,0.337871586,NA
217,307,0.335061185,0.336189215
218,308,0.333703354,0.337578495
219,309,0.334269328,NA
220,310,0.33483062,NA
221,311,0.330416285,0.33492054
222,312,0.334245265,0.336134361
223,313,0.333054336,NA
224,314,0.336945884,NA
225,315,0.332732726,0.334875825
226,316,0.33566413,0.335566886
227,317,0.337815566,0.335235371
228,318,0.33528067,0.33232409
229,319,0.336624852,NA
230,320,0.336463092,NA
231,321,0.334511438,NA
