,DOY,green relative Year2015.55,green relative Year2012,green relative Year2014
227,227,0.392406257,NA,0.391339152
228,228,0.391063634,NA,0.401841876
229,229,0.384532147,NA,0.396339228
230,230,0.383585554,NA,0.393981462
231,231,0.391060961,NA,0.392758455
232,232,0.38195525,NA,0.408401484
233,233,0.39136425,NA,0.396440396
234,234,0.395698075,NA,0.396778452
235,235,0.386085738,NA,0.404439613
236,236,0.383670418,NA,0.396103152
237,237,0.381323536,NA,0.390905088
238,238,0.391301561,NA,0.393997073
239,239,0.39187897,NA,0.386913267
240,240,0.391854503,NA,0.391132414
241,241,0.388569766,NA,0.380241148
242,242,0.390845225,NA,0.386142485
243,243,0.38931425,NA,0.397332487
244,244,0.394609386,NA,0.39166732
245,245,0.379263191,NA,0.395468281
246,246,0.39010309,NA,0.384803096
247,247,0.38611806,NA,0.399540849
248,248,0.387044711,NA,0.396769072
249,249,0.391233002,NA,0.382437484
250,250,0.396028813,NA,0.379000617
251,251,0.369685549,NA,0.386617027
252,252,0.386081026,NA,0.383350078
253,253,0.390572903,NA,0.385792494
254,254,0.389590136,NA,0.394551811
255,255,0.382621153,NA,0.390748496
256,256,0.382031506,NA,0.390168759
257,257,0.378902768,NA,0.391043507
258,258,0.382973052,NA,0.372746317
259,259,0.382331875,NA,0.374403238
260,260,0.382237332,NA,0.373407178
261,261,0.390264303,NA,0.379395829
262,262,0.38403119,NA,0.378071952
263,263,0.380076313,NA,0.385365489
264,264,0.375603183,NA,0.388765848
265,265,0.378401352,NA,0.386514682
266,266,0.388275975,NA,0.368219135
267,267,0.384431464,NA,0.368508394
268,268,0.380347551,0.377216713,0.364633489
269,269,0.377607176,NA,0.361892179
270,270,0.384332398,NA,0.357837447
271,271,0.37594342,NA,0.360839802
272,272,0.383630861,NA,0.370904424
273,273,0.373593692,NA,0.372571879
274,274,0.371825831,0.372733173,0.375198864
275,275,0.369665151,NA,0.366435213
276,276,0.377747246,0.380255377,0.369587101
277,277,0.364235655,0.368654159,0.359101762
278,278,0.376535246,0.372477756,0.364940013
279,279,0.371277046,0.372077997,0.352519733
280,280,0.37401501,NA,0.364406932
281,281,0.370978356,0.376052417,0.363530291
282,282,0.365607692,0.368547695,0.363860326
283,283,0.367561737,0.383368726,0.359999784
284,284,0.360099086,0.359377344,0.355107855
285,285,0.356948604,0.370880341,0.336847721
286,286,0.346194289,NA,0.35021081
287,287,0.347498619,NA,0.343620151
288,288,0.339739993,NA,NA
289,289,0.336474912,0.367022111,0.3196187
290,290,0.335867491,0.377857207,0.323945537
291,291,NA,0.371740312,0.314763403
292,292,NA,0.346845715,0.317070287
293,293,NA,0.365704824,0.312745322
294,294,NA,NA,0.29767796
295,295,NA,NA,0.295894749
296,296,0.322124128,0.355170283,0.294240183
297,297,0.325151131,NA,0.302531368
298,298,0.314810529,NA,0.299772698
299,299,0.312151196,0.37604442,0.310234048
300,300,0.307615762,NA,0.299615708
301,301,0.308237006,NA,0.330321086
302,302,0.295249221,0.371208003,0.319208812
303,303,0.296926259,0.336711549,0.332362998
304,304,0.292978841,0.365692142,0.322821277
305,305,0.295916954,NA,0.317746556
306,306,0.29441621,0.349383049,0.3229445
307,307,0.302889712,0.354204803,0.311911771
308,308,0.309475719,0.37717256,0.315462654
309,309,0.313909943,0.350204241,0.334336978
310,310,0.317102055,0.357505605,0.304421833
311,311,0.314546968,0.359040912,0.332146494
312,312,0.322140317,NA,0.310173441
313,313,0.322333634,0.355065081,0.314263094
314,314,0.314584152,0.344591834,0.305876677
315,315,0.321139266,0.377202398,0.297261966
316,316,0.310603399,0.354542723,0.325664833
317,317,0.306006161,0.373769201,0.308279069
318,318,0.321611622,0.376011073,0.304839699
319,319,0.32375337,0.375717098,0.31420799
320,320,0.322305128,0.372285512,0.305304152
321,321,0.321591737,0.378477152,0.301952749
322,322,0.322537243,0.37615679,0.299035805
323,323,0.308405517,0.373965677,0.309767163
324,324,0.317922531,0.366928345,0.300484798
325,325,0.318375803,0.362366675,0.29604567
326,326,0.319883954,0.373857037,0.315136846
327,327,0.311022949,0.377290718,0.301514701
328,328,0.319320404,NA,0.319315521
329,329,0.319454305,NA,0.314238766
